IO Topics,Subtopics,Issues Identified in Text,Text Location,Possible Solutions,Mentioned,Responded,Missed,Rating (Quality of answers?),Note
Job Analysis/Ethics/Legal Issues,"Job Analysis: method, procedure, outcomes",,,,,,,,
,"Adverse Impact: detection, calculation, remedies",,,,,,,,
,Disparate Treatment,,,,,,,,
,"Employment Laws: legal boundaries, EEOC, etc.",,,,,,,,
Selection/Assessment,Selection Measures/Tools: Development & Validation,,,,,,,,
,"Decision Making Strategies: top down, multiple hurdle, multiple cutoff",,,,,,,,
Validation Analysis,"Construct, criterion, content, face validity",,,,,,,,
,Predictive vs. concurrent,,,,,,,,
,Appropriate criterion ,,,,,,,,
Performance Appraisal,"Evaluation System: process, relevant documents, feedback",,,,,,,,
,"Best practice: anchoring, angoff method, etc.",,,,,,,,
Culture/Climate/Change Management,Culture Diagnosis/Assessment,,,,,,,,
,Communication,,,,,,,,
,Intervention,,,,,,,,
Organizational Topics,"Leadership: style, issues, etc.",,,,,,,,
,"Workplace attitudes: job sat, org commit, turnover intention, motivation, fit",,,,,,,,
,"Workplace behaviors: OCB, CWBs, turnover",,,,,,,,
Training,Needs Assessment ,,,,,,,,
,Type & Process,,,,,,,,
,Training success evaluation,,,,,,,,
Data/Statistics/Psychometrics,Factor & Item-level analysis,,,,,,,,
,Correlation: coefficient & variance explained,,,,,,,,
,Regression: types & procedure,,,,,,,,
,Reliability & validity: Types of reliability; relationship between the two,,,,,,,,
