Classification,Student_type,WLB_1,WLB_2,WLB_3,WLB_4,WLB_5,WLB_6,WLB_7,WLB_8,WLB_9,WLB_10,WLB_11,Overall_stress,Stress_1,Stress_2,Stress_3,Stress_4,Stress_5,Stress_6,Effects_1,Effects_2,Effects_3,Effects_4,Effects_5,Effects_6,Effects_7,Effects_8,Effects_9,Effects_10,Coping Resources_1,Coping Resources_2,Coping Resources_3,Coping Resources_4,Coping Resources_5,Coping Resources_6,Coping Resources_7,Coping Resources_8,Coping Resources_9,Coping Resources_10,Coping Resources_11,Coping Resources_12,Coping Resources_13,Coping Resources_14,Coping Resources_15,Coping Resources_16,Coping Resources_17,Coping Resources_18,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,Ethnicity,id,ResponseId,WLB_open,Stress_6_TEXT,Stress_open,Effects_open,RU open,Overall_experience,Additional,Race,Race_6_TEXT,Ethnicity_3_TEXT,Age
1,1,4,2,4,4,3,3,3,4,3,2,1,3,8,10,2,8,8,10,3,4,4,4,1,4,1,1,4,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,5,6,5,2,5,4,2,36417,R_28REynockOiwFml,I have a bit of a struggle with maintaining balance between my work and my personal activities but it is not super hard,,I do work for a certain amount of hours then take a break to enjoy my personal activities,"When i get really stressed it causes depressive episodes where i am unmotivated with everything, i constantly sleep ,and I lose control over a good majority of my emotions. I basically stop my whole life until i am able to figure out how i can get a hold over my stress levels ",As of right now i only use one resource. My resource is the dining services.,It has not made college all that bad but it has made me rethink the whole college experience.,I think professors should take the time out to check on students whose grades drop suddenly or over time after they have been doing good for a while.,3,,,18
2,1,4,5,4,4,4,4,4,4,4,2,3,2,8,10,6,3,6,10,3,3,3,1,4,2,3,4,3,3,1,3,1,1,1,1,1,1,4,1,1,3,1,2,2,1,1,1,4,5,7,1,3,3,2,1,6,4,3,36199,R_3iqiH1vPNVoZVnC,good,,day planner,sometimes family can be stressful,no,my employer is not good at working with my schedule,no,"1,2,4,5",,,19
2,1,3,2,3,2,4,1,3,4,4,3,1,3,8,2,3,2,6,6,5,5,5,4,4,4,4,5,5,4,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,5,2,4,6,5,3,7,3,6,2,2,36573,R_29chcZU3UuMo8WZ,"I feel like my work-life balance depends on the time of year, but overall I feel like I am always playing catch up with my schoolwork because of the time lost while at my job.",living on campus,weekends with family and friends,"The more strained from school I get, the more my social life is hurt.",the gym,I feel like I do not have the time or energy to do my best academically or socially.,,5,,,19
2,1,4,4,4,4,4,4,5,4,4,3,4,3,6,10,3,3,8,10,3,3,3,2,1,4,3,2,2,3,1,1,3,1,1,2,3,1,3,1,1,1,1,1,2,1,2,1,3,6,6,6,4,5,5,2,3,2,2,36120,R_1GHOWcjJzCCrCCh,"I feel that I have had a strong work-life balance since sophomore year of high school because that is when I started to do college classes as well as high school classes, on top of having a job. Maintaining a healthy work-life balance is just part of the routine for me now. ",,"I use a planner/ calendar to manage all activties or due dates that I have so I can effectively get things done on time without having to cram things in, resulting in bad grades or poor memorization. ","When I get extremely overwhelmed, I tend to have a mental breakdown momentarily but it usually does not last long before I get motivation to keep going.",my academic advisor,it has not changed it much since I have been doing college for quite a long time now.,no,5,,,18
2,1,1,1,2,2,2,2,1,2,2,2,1,5,9,2,8,2,9,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,7,5,5,2,6,1,6,7,1,1,1,35629,R_eeS2hVcQsbrcDZL,Not good,,Going on runs,"n/a
",,,,5,,,19
2,1,4,3,4,3,4,4,4,4,4,4,5,3,8,2,6,8,6,10,2,4,4,4,1,5,4,2,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,7,6,5,1,5,1,5,7,2,37110.7669,R_2ty78QjeAx26PGt,"I feel that it is hard at times but also easy at other times. It���s not for everyone, I have always had a job and school therefore, I do not find it too",,"Time management, a calendar, and a journal/sticky notes. I like to see everything i have for my class, work schedule, and sorority events on a calendar white board so i know what i have going on each day. Another thing that helps me is having sticky notes on my mac book to see what assignments i have each week in all my classes.",I just feel burnt out at the end of days,,It has made me more social and gives me reasons to leave my room along with feeling more financially stable.,nope!,5,,,19
2,1,4,4,4,3,4,4,4,4,4,3,2,2,6,2,2,2,3,2,2,1,3,2,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,3,5,3,5,3,5,3,3,36397,R_3Pzqj35daTQyKH7,"I feel I have a pretty good schedule going. It works for me, and I don't feel stressed or overstimulated most of the time.",,"I have a planner and I plan out my days before my day usually starts. On Sundays I look at what is due for the week and what I am doing outside of school. This allows me to know what is going on in my life, so I don't get stressed out about plans and school.",,"No, I don't really use the resources Radford provides. I probably should sometimes but I am doing well.","It hasn't, I am still able to enjoy my college life and experience  while working. It is a good mix of both.",,5,,Caucasian,20
1,1,1,1,3,2,2,2,1,2,2,1,1,4,9,10,9,3,9,10,4,4,4,4,1,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,4,36265,R_Zr7mvQ21GPtmn5L,Neutral,,"Running 
",,,,,5,,,18
4,1,2,2,2,2,4,3,4,4,2,1,1,4,9,2,8,8,3,2,5,5,4,3,5,5,2,5,4,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,5,5,7,1,3,2,2,35525.96543,R_3rJ2EWBcnBaO3FC,"I wish I didn���t have to work while in school. I would have more time to eat a proper meal, go to the gym, and time to rest. I need to work to pay rent, but it���s just",,I make an attempt to work out at least three times a week to help relieve stress.,,,I don���t have time for things like parties and going out with my friends. It���s harder to have a social life when you don���t have time to han,,5,,,21
4,1,2,3,3,2,3,1,3,4,2,1,2,4,8,10,6,10,8,10,4,4,4,3,3,3,5,3,4,4,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,3,5,5,6,4,7,5,5,3,2,36213,R_3awHokSLdbuhdvj,"I feel often I have to either sacrifice academics or sacrifice my social life, to fully try and balance everything. ",,"I find time to relax, or try to. I wind down my nights the same way normally playing video games, but something it involves smoking weed to calm down and sleep.",,,I often struggle to find the balance each semester and feel by the time I do find the balance the semester is over and I have to restart.,,5,,,21
